groupId,aggCol,aggFunc,pred,selectivity,selectedRows,totalRows,varzSata,bestSampler,samplerDiff,gen_from_table
0,borrower_rate,sum,installment >= 919.180000 and grade = 'E' and loan_status_description = 'CURRENT',0.0025480445166958477,7326,2875146,"'uf_None':1158647689.647035,'sf_grade':680208622.440601,'bk_principal_balance':378278515.864252",principal_balance,1.3409581624344458,loan.population
0,installment,sum,borrower_rate >= 0.209500 and installment >= 667.960000 and grade = 'F' and loan_status_description = 'CURRENT' and principal_balance >= 7761.670000,0.0015362698102983291,4417,2875146,"'uf_None':11121368891745962.000000,'sf_grade':2960002195565960.000000,'bk_principal_balance':2891568164335011.000000",principal_balance,1.0117641788425518,loan.population
0,borrower_rate,sum,loan_status_description = 'CHARGEOFF' and principal_balance >= 6386.550000 and borrower_rate >= 0.181400 and installment >= 368.350000,0.0013310628399392588,3827,2875146,"'uf_None':610297641.650994,'sf_grade':343161578.991809,'bk_principal_balance':265065101.193350",principal_balance,1.1378186627227165,loan.population
0,amount_borrowed,sum,grade = 'D' and loan_status_description = 'DEFAULTED',0.009928191472711298,28545,2875146,"'uf_None':22941401642279076000.000000,'sf_grade':28959379758429417000.000000,'bk_principal_balance':148753824012519200000.000000",None,1.1235299498896665,loan.population
0,borrower_rate,sum,loan_status_description = 'CHARGEOFF' and installment >= 419.960000 and borrower_rate <= 0.097500 and grade = 'B',0.0013258457135741975,3812,2875146,"'uf_None':88891947.372792,'sf_grade':161992481.446270,'bk_principal_balance':569322963.642197",None,1.3499454481054411,loan.population
0,amount_borrowed,sum,installment >= 922.460000 and loan_status_description = 'COMPLETED' and borrower_rate <= 0.123600 and principal_balance <= 7710.300000,0.008918503616859804,25642,2875146,"'uf_None':81848422604525130000.000000,'sf_grade':135290887387305800000.000000,'bk_principal_balance':577802471919900030000.000000",None,1.2856688322319736,loan.population
0,amount_borrowed,sum,loan_status_description = 'CHARGEOFF' and installment <= 183.499220,0.00859712863277204,24718,2875146,"'uf_None':1148703110694359550.000000,'sf_grade':1734896215758990850.000000,'bk_principal_balance':7274169305433097200.000000",None,1.2289461441000356,loan.population
0,installment,sum,installment >= 315.160000 and principal_balance <= 1171.920000 and loan_status_description = 'CHARGEOFF' and grade = 'B' and borrower_rate <= 0.108600,0.0034881706876798606,10029,2875146,"'uf_None':9287429021889742.000000,'sf_grade':16924942040785178.000000,'bk_principal_balance':65515395990060624.000000",None,1.3499442743181724,loan.population
0,borrower_rate,sum,borrower_rate <= 0.074900 and installment <= 101.960000,0.004024839086432481,11572,2875146,"'uf_None':145961176.868450,'sf_grade':154591358.853259,'bk_principal_balance':672145880.131195",None,1.0291387457312982,loan.population
0,borrower_rate,sum,installment >= 1011.750000 and grade = 'E',0.0028328996162281846,8145,2875146,"'uf_None':1222073074.370737,'sf_grade':717443817.304673,'bk_principal_balance':4451986384.483883",grade,1.3051326040208113,loan.population
0,borrower_rate,sum,loan_status_description = 'CHARGEOFF' and borrower_rate <= 0.094400 and installment >= 385.550000,0.002711862284558767,7797,2875146,"'uf_None':142761733.164218,'sf_grade':201055480.123386,'bk_principal_balance':945724467.894216",None,1.1867303562665812,loan.population
0,amount_borrowed,sum,principal_balance <= 421.890000 and installment >= 104.643555 and grade = 'B' and loan_status_description = 'DEFAULTED',0.0031535789834672744,9067,2875146,"'uf_None':7017730253026401300.000000,'sf_grade':12788757521662500000.000000,'bk_principal_balance':49541112198170460000.000000",None,1.3499442741491803,loan.population
0,borrower_rate,sum,grade = 'D' and installment <= 89.798350,0.005798662050553259,16672,2875146,"'uf_None':1441240841.582964,'sf_grade':1819307241.986907,'bk_principal_balance':7691927330.057384",None,1.1235301826631585,loan.population
0,amount_borrowed,sum,borrower_rate <= 0.203100 and loan_status_description = 'COMPLETED' and installment >= 501.160000 and grade = 'E',0.00423282852418625,12170,2875146,"'uf_None':22303947646037440000.000000,'sf_grade':13094017625018974000.000000,'bk_principal_balance':157452956005657540000.000000",grade,1.3051319093324207,loan.population
0,borrower_rate,sum,loan_status_description = 'CHARGEOFF' and borrower_rate <= 0.091600 and principal_balance <= 958.110000 and installment <= 693.540000 and grade = 'A',0.0030471496056200275,8761,2875146,"'uf_None':140818233.195568,'sf_grade':148555531.794940,'bk_principal_balance':993194166.590380",None,1.0271052962417775,loan.population
